date,consumer
2020-01-01,-9
2020-02-01,-7
2020-03-01,-9
2020-04-01,-34
2020-05-01,-34
2020-06-01,-30
2020-07-01,-27
2020-08-01,-27
2020-09-01,-25
2020-10-01,-31
2020-11-01,-33
2020-12-01,-26
2021-01-01,-28
2021-02-01,-23
2021-03-01,-16
2021-04-01,-15
2021-05-01,-9
2021-06-01,-9
2021-07-01,-7
2021-08-01,-8
2021-09-01,-13
2021-10-01,-17
2021-11-01,-14
2021-12-01,-15
2022-01-01,-19
2022-02-01,-26
2022-03-01,-31
2022-04-01,-38
2022-05-01,-40
2022-06-01,-41
2022-07-01,-41
2022-08-01,-44
2022-09-01,-49
2022-10-01,-47
2022-11-01,-44
2022-12-01,-42
2023-01-01,-45
2023-02-01,-38
2023-03-01,-36
2023-04-01,-30
2023-05-01,-27
2023-06-01,-24
2023-07-01,-30
2023-08-01,-25
2023-09-01,-27
2023-10-01,-30
2023-11-01,-24
2023-12-01,-22
2024-01-01,-19
2024-02-01,-21
2024-03-01,-21
2024-04-01,-19
2024-05-01,-17
2024-06-01,-14
2024-07-01,-13
2024-08-01,-13
2024-09-01,-20
2024-10-01,-21
2024-11-01,-18
2024-12-01,-17
2025-01-01,-22
2025-02-01,-20
2025-03-01,-19
2025-04-01,-23
2025-05-01,-20
2025-06-01,-18
2025-07-01,-19
2025-08-01,-17
2025-09-01,-19
2025-10-01,-17
2025-11-01,-19
2025-12-01,-17
2026-01-01,-16
2026-02-01,-19
2026-03-01,-21
2026-04-01,-25
2026-05-01,-23
2026-06-01,-23
2026-07-01,-17
